age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,Unnamed: 0
50.0,Private,105010.0,13.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,45.0,United-States,1,
31.0,Local-gov,356689.0,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,0,
26.0,Private,133766.0,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,70.0,United-States,0,
35.342856732807064,Private,219329.3606417917,13.46446512704195,Widowed,Adm-clerical,Unmarried,White,Female,5794.327112483001,-0.0008451152443885804,28.618694374956533,United-States,0,5777.0
57.0,Self-emp-not-inc,134286.0,10.0,Separated,Sales,Not-in-family,White,Male,0.0,0.0,35.0,United-States,0,
24.0,Private,270075.0,13.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,50.0,United-States,0,
40.0,Private,198692.0,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,5178.0,0.0,60.0,United-States,1,
18.42621378165513,Private,43966.6775330939,10.000235750585313,Never-married,Adm-clerical,Not-in-family,White,Female,0.0019999998807907105,-0.002,27.603103715798987,United-States,0,10090.0
49.0,Private,228583.0,9.0,Divorced,Other-service,Unmarried,White,Male,0.0,0.0,40.0,Columbia,0,
53.0,Private,30290.0,9.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0,
28.0,Private,194200.0,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,70.0,United-States,0,
44.0,Private,346594.0,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,0,
50.0,Private,98350.0,10.0,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Philippines,1,
41.0,Private,140590.0,10.0,Never-married,Sales,Not-in-family,Black,Male,0.0,0.0,33.0,United-States,0,
43.0,Private,91949.0,9.0,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,0,
47.0,Self-emp-not-inc,159869.0,16.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,0,
56.0,Private,179641.0,9.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,45.0,United-States,0,
53.0,Private,192386.0,9.0,Separated,Transport-moving,Unmarried,White,Male,0.0,0.0,45.0,United-States,0,
33.0,Private,594187.0,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States,1,
29.0,Private,188675.0,10.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,Jamaica,1,
26.0,Private,178140.0,13.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,45.0,United-States,1,
41.0,Private,211731.0,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,Mexico,0,
45.0,Private,234699.0,9.0,Married-spouse-absent,Other-service,Unmarried,Black,Female,0.0,0.0,60.0,United-States,1,
61.0,Private,35649.0,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,6.0,United-States,0,
22.0,Private,300871.0,10.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-States,0,
46.0,Private,243743.0,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1,
47.0,Private,270079.0,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0,
25.0,Private,632834.0,9.0,Never-married,Craft-repair,Own-child,Black,Male,0.0,0.0,40.0,United-States,0,
22.0,Private,180060.0,9.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,Yugoslavia,0,
20.0,Private,353195.0,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,35.0,United-States,0,
37.0,Private,167777.0,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,52.0,United-States,0,
56.0,Self-emp-not-inc,67841.0,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,0,
31.0,Self-emp-not-inc,161745.0,13.0,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0.0,1980.0,60.0,United-States,0,
25.0,Federal-gov,50053.0,13.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,45.0,United-States,0,
16.96143397398839,Self-emp-not-inc,41357.25736433344,9.000027285308887,Never-married,Tech-support,Own-child,White,Female,0.0019997557401657106,0.0019995219707489016,19.950883873413613,United-States,0,8944.0
33.0,Private,67072.0,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,1,
46.0,Private,117849.0,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,55.0,United-States,1,
49.0,Federal-gov,229376.0,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1,
36.0,Private,188834.0,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0,
26.0,Private,256263.0,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,25.0,United-States,0,
70.0,Self-emp-inc,379819.0,10.0,Married-civ-spouse,Sales,Husband,White,Male,10566.0,0.0,40.0,United-States,0,
52.0,Private,163678.0,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,55.0,United-States,0,
19.0,Private,29510.0,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20.0,United-States,0,
39.890653571199,Local-gov,125750.81489967526,9.000270536213492,Divorced,Exec-managerial,Unmarried,White,Female,0.001999999761581421,-0.001999999761581421,40.00033226576152,United-States,0,14194.0
30.0,Private,342709.0,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,0,
43.0,Private,83411.0,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,1,
40.0,Private,299813.0,7.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,37.0,Dominican-Republic,0,
32.0,State-gov,213389.0,10.0,Divorced,Protective-serv,Unmarried,White,Female,0.0,1726.0,38.0,United-States,0,
33.0,Private,191856.0,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0,
63.0,Private,176696.0,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1,
40.58159607098889,State-gov,394773.0817725947,11.000436717718882,Never-married,Sales,Not-in-family,Black,Female,0.002,-0.002,40.00155181383792,United-States,1,9186.0
38.0,Private,309230.0,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,1,
37.0,Local-gov,160910.0,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298.0,0.0,40.0,United-States,1,
47.0,Self-emp-not-inc,28035.0,10.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,86.0,United-States,0,
32.43673000820565,Private,160383.1238297793,11.000477479040663,Divorced,Exec-managerial,Unmarried,White,Female,0.002,-0.002,40.00156753945055,United-States,0,11247.0
73.0,Private,105886.0,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,1173.0,0.0,75.0,United-States,0,
42.0,Private,163003.0,13.0,Married-spouse-absent,Tech-support,Own-child,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States,0,
32.0,Self-emp-not-inc,203408.0,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,44.0,United-States,0,
17.0,Private,52967.0,6.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,6.0,United-States,0,
55.0,Private,82098.0,9.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,55.0,United-States,0,
18.0,Private,334026.0,7.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,25.0,United-States,0,
29.0,Private,266043.0,5.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,0,
42.0,Private,201785.0,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,1,
49.0,State-gov,142856.0,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,1,
22.0,Private,221480.0,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,0,
30.0,Private,174704.0,7.0,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0.0,40.0,United-States,0,
71.0,Private,235079.0,1.0,Widowed,Craft-repair,Unmarried,Black,Male,0.0,0.0,10.0,United-States,0,
29.0,Private,109621.0,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0,
30.0,Private,167476.0,10.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,50.0,United-States,0,
29.0,Private,91189.0,13.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,48.0,United-States,0,
47.0,State-gov,80914.0,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,47.0,United-States,1,
54.0,Private,230919.0,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0,
42.0,Private,174112.0,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0,
52.0,Private,232024.0,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,60.0,United-States,0,
50.0,Private,237819.0,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States,1,
18.0,Private,111256.0,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,20.0,United-States,0,
18.0,Private,434430.0,9.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,30.0,United-States,0,
41.99727066127426,Private,346402.76485401235,9.000195408790681,Divorced,Machine-op-inspct,Unmarried,Black,Female,0.0019999996423721318,-0.0019999989271163947,40.001669685360824,United-States,0,4719.0
43.640205137480955,Private,782407.5722563657,13.857261353140668,Married-civ-spouse,Other-service,Wife,White,Female,0.0019999980926513677,-0.0019999995231628413,39.25551732074615,United-States,1,10758.0
19.0,Private,198663.0,9.0,Never-married,Tech-support,Own-child,White,Male,0.0,0.0,40.0,United-States,0,
61.0,Local-gov,260167.0,9.0,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0,
31.0,Local-gov,189843.0,9.0,Divorced,Protective-serv,Not-in-family,White,Male,0.0,0.0,47.0,United-States,1,
34.0,Private,146161.0,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,1,
47.0,Private,95680.0,10.0,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States,0,
37.0,Private,171150.0,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,1887.0,50.0,United-States,1,
26.0,Private,236242.0,15.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,30.0,United-States,0,
33.0,Local-gov,173005.0,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,1848.0,45.0,United-States,1,
22.10133539731776,Private,399292.9605462717,12.05732116196686,Never-married,Prof-specialty,Not-in-family,White,Female,0.002,-0.0019999995231628413,40.00164890849295,United-States,0,11427.0
52.0,Private,169549.0,10.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,0,
55.0,Self-emp-not-inc,52888.0,15.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,10.0,United-States,0,
19.0,Private,240468.0,10.0,Married-spouse-absent,Sales,Own-child,White,Female,0.0,1602.0,40.0,United-States,0,
17.0,Private,146329.0,8.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,23.0,United-States,0,
28.0,Private,232945.0,9.0,Separated,Handlers-cleaners,Not-in-family,Other,Male,0.0,0.0,30.0,United-States,0,
36.0,Private,247600.0,12.0,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,40.0,Taiwan,0,
27.0,Private,178709.0,14.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0,
47.0,State-gov,207120.0,11.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,38.0,United-States,1,
22.43223211309607,Private,223350.3374998216,10.00027391564798,Never-married,Exec-managerial,Own-child,Black,Female,0.002,-0.002,40.001472151276495,United-States,0,13987.0
30.0,Private,162442.0,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,7688.0,0.0,50.0,United-States,1,
32.0,Federal-gov,386877.0,11.0,Never-married,Tech-support,Own-child,Black,Male,4650.0,0.0,40.0,United-States,0,
43.0,Private,193490.0,4.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,0,
32.0,Private,27051.0,13.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,44.0,United-States,0,
31.0,Private,174201.0,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,0,
25.0,Private,139012.0,13.0,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,2174.0,0.0,40.0,Vietnam,0,
41.0,Local-gov,248406.0,9.0,Separated,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,United-States,0,
27.0,Local-gov,236472.0,13.0,Divorced,Prof-specialty,Other-relative,White,Female,0.0,0.0,40.0,United-States,0,
49.0,Self-emp-not-inc,162856.0,10.0,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0.0,0.0,40.0,United-States,0,
35.0,Private,186886.0,9.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,55.0,United-States,0,
31.0,Private,354464.0,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,0,
45.0,State-gov,36032.0,9.0,Divorced,Protective-serv,Unmarried,Black,Female,0.0,0.0,40.0,United-States,0,
41.0,Private,89226.0,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0,
49.0,State-gov,72619.0,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,50.0,United-States,0,
46.0,Self-emp-not-inc,353012.0,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,50.0,United-States,1,
23.0,Private,214542.0,10.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,20.0,United-States,0,
21.0,Private,212661.0,6.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,39.0,United-States,0,
49.0,Self-emp-not-inc,111959.0,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,Scotland,1,
59.0,Private,453067.0,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,36.0,United-States,1,
45.0,Private,189890.0,12.0,Divorced,Prof-specialty,Unmarried,White,Female,5455.0,0.0,38.0,United-States,0,
58.0,Private,284834.0,12.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,0,
27.0,Private,305647.0,12.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,1,
61.0,Federal-gov,28291.0,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,0,
33.0,Private,44392.0,9.0,Divorced,Handlers-cleaners,Own-child,White,Male,0.0,0.0,20.0,United-States,0,
44.0,Federal-gov,161240.0,9.0,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0,
63.0,Private,101077.0,12.0,Married-spouse-absent,Adm-clerical,Other-relative,White,Female,0.0,0.0,35.0,United-States,0,
70.0,Self-emp-inc,243436.0,5.0,Divorced,Sales,Not-in-family,White,Male,0.0,0.0,45.0,United-States,0,
32.0,Private,153471.0,9.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,35.0,United-States,0,
35.0,Local-gov,329759.0,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,0,
41.21846757152712,Private,131858.6696666577,9.000317766874408,Divorced,Adm-clerical,Unmarried,Black,Female,0.002,-0.0019999998807907105,40.00159183454218,United-States,0,5470.0
71.0,State-gov,100063.0,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States,0,
44.0,Private,376072.0,9.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45.0,United-States,1,
30.0,Private,111415.0,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,55.0,Germany,0,
42.0,Private,319016.0,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,2885.0,0.0,45.0,United-States,0,
46.0,Self-emp-inc,123075.0,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,70.0,United-States,0,
35.0,Private,335777.0,10.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,Mexico,0,
32.0,Private,73498.0,4.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States,0,
30.0,Private,195576.0,10.0,Never-married,Prof-specialty,Own-child,White,Male,3325.0,0.0,50.0,United-States,0,
60.0,Private,160625.0,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,47.0,United-States,0,
23.0,State-gov,93076.0,9.0,Never-married,Other-service,Own-child,Black,Male,0.0,0.0,40.0,United-States,0,
47.0,Self-emp-not-inc,315110.0,10.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,20.0,United-States,0,
25.0,Private,69413.0,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,0,
29.0,State-gov,106972.0,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,35.0,United-States,0,
17.106309857401666,Private,401942.3573095861,10.00020915713858,Never-married,Exec-managerial,Own-child,White,Female,0.002,-0.002,26.857886743980327,United-States,0,4780.0
37.0,Private,329980.0,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,2415.0,60.0,United-States,1,
53.0,Self-emp-inc,136823.0,7.0,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,30.0,United-States,0,
29.0,Private,349116.0,9.0,Separated,Sales,Unmarried,White,Female,0.0,0.0,25.0,United-States,0,
22.0,Private,184543.0,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,0,
41.0,Self-emp-not-inc,190290.0,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0,
63.0,Private,273010.0,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,3471.0,0.0,40.0,United-States,0,
24.0,Local-gov,289886.0,7.0,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,45.0,United-States,0,
17.0,Private,78602.0,7.0,Never-married,Other-service,Other-relative,White,Female,0.0,0.0,20.0,United-States,0,
26.0,Private,252406.0,9.0,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States,0,
29.0,Private,160731.0,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,1,
24.0,Private,119156.0,9.0,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,50.0,United-States,0,
30.0,Private,174215.0,16.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,15.0,United-States,0,
25.0,Private,135568.0,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,0,
37.0,Local-gov,52465.0,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0,
24.0,Private,88126.0,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0,
31.0,Private,398988.0,10.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0,
23.0,Private,217961.0,9.0,Never-married,Craft-repair,Unmarried,White,Male,0.0,0.0,45.0,Outlying-US(Guam-USVI-etc),0,
51.0,Local-gov,35211.0,9.0,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,40.0,United-States,0,
22.0,Private,260594.0,7.0,Never-married,Sales,Unmarried,White,Female,0.0,0.0,25.0,United-States,0,
46.0,Federal-gov,371373.0,9.0,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,0,
47.0,Private,46044.0,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,0,
56.0,Private,124137.0,9.0,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,41.0,United-States,0,
52.0,Self-emp-not-inc,102346.0,10.0,Never-married,Prof-specialty,Own-child,White,Female,0.0,0.0,35.0,United-States,0,
32.0,Private,364657.0,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,0,
37.0,Private,89559.0,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,0,
24.0,Private,39827.0,10.0,Married-civ-spouse,Machine-op-inspct,Wife,Other,Female,0.0,0.0,40.0,Puerto-Rico,0,
24.0,Self-emp-not-inc,83374.0,10.0,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,30.0,United-States,1,
26.0,Self-emp-not-inc,219897.0,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States,0,
38.0,Private,358682.0,10.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,0,
17.0,Self-emp-inc,61838.0,6.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,0,
55.0,Private,256526.0,9.0,Separated,Machine-op-inspct,Not-in-family,White,Male,4865.0,0.0,45.0,United-States,0,
21.0,Private,65038.0,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,0,
32.709922123212195,Private,217726.9571505668,10.000278122424598,Never-married,Other-service,Other-relative,White,Female,0.002,-0.001999999403953552,36.209333857016695,United-States,0,11762.0
37.0,Private,143912.0,9.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,50.0,United-States,0,
22.0,Private,234880.0,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,25.0,United-States,0,
17.0,Private,118792.0,7.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,9.0,United-States,0,
